City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saldanha,-33.0117,17.9442,15.97,80,47,7.62,ZA,1680134942
84,barrow,71.2906,-156.7887,-12.99,78,0,6.17,US,1680134943
85,eckernforde,54.4667,9.8333,8.49,93,100,3.93,DE,1680134944
86,clyde river,70.4692,-68.5914,-19.56,99,91,0.6,CA,1680134944
87,diffa,13.3154,12.6113,25.44,11,92,3.95,NE,1680134945
88,cooma,-36.2333,149.1333,13.02,61,21,2.57,AU,1680134946
89,souillac,-20.5167,57.5167,25.74,87,76,5.87,MU,1680134946
90,tonj,7.2737,28.6822,27.78,29,51,1.5,SS,1680134947
91,arcelia,18.2833,-100.2667,36.11,23,72,2.2,MX,1680134948
92,tasiilaq,65.6145,-37.6368,-11.91,65,3,2.53,GL,1680134949
93,qaanaaq,77.484,-69.3632,-23.69,63,90,3.36,GL,1680134950
94,torbay,47.6666,-52.7314,-0.24,91,100,3.13,CA,1680134751
95,topeka,39.0483,-95.678,14.94,41,0,4.63,US,1680134951
96,jamestown,42.097,-79.2353,-1.83,97,75,5.66,US,1680134684
97,vaitape,-16.5167,-151.75,28.14,72,94,3.9,PF,1680134953
98,puerto ayora,-0.7393,-90.3518,26.97,88,89,0.45,EC,1680134953
99,faanui,-16.4833,-151.75,28.13,72,95,3.8,PF,1680134954
100,tiksi,71.6872,128.8694,-26.32,98,74,2.12,RU,1680134954
101,bengkulu,-3.8004,102.2655,24.66,85,93,1.58,ID,1680134955
102,hithadhoo,-0.6,73.0833,27.65,76,20,3.18,MV,1680134747
103,mikhaylovka,50.06,43.2379,7.66,81,100,2.64,RU,1680134957
104,shelburne,44.0787,-80.2041,-4.5,78,69,8.98,CA,1680134958
105,port macquarie,-31.4333,152.9167,26.61,33,0,2.45,AU,1680134864
106,kangaba,11.9333,-8.4167,27.79,58,71,2.78,ML,1680134959
107,meulaboh,4.1363,96.1285,23.7,92,26,1.7,ID,1680134874
108,bandarbeyla,9.4942,50.8122,26.15,77,6,1.42,SO,1680134868
109,kenai,60.5544,-151.2583,2.05,80,100,3.6,US,1680134961
110,vostok,46.4856,135.8833,2.68,82,97,3.79,RU,1680134961
111,leninsk,48.7119,45.1994,11.23,67,99,2.97,RU,1680134962
112,flinders,-34.5833,150.8552,22.25,62,13,2.24,AU,1680134963
113,avarua,-21.2078,-159.775,28.03,89,75,4.12,CK,1680134754
114,carnarvon,-24.8667,113.6333,23.97,77,100,1.48,AU,1680134964
115,tazovskiy,67.4667,78.7,-18.0,93,100,7.16,RU,1680134965
116,iqaluit,63.7506,-68.5145,-19.06,77,100,8.23,CA,1680134966
117,leshukonskoye,64.8989,45.7622,-3.3,85,100,5.39,RU,1680134967
118,gat,31.61,34.7642,14.38,100,90,5.98,IL,1680134967
119,martapura,-3.4167,114.85,24.05,94,40,3.09,ID,1680134969
120,saint george,37.1041,-113.5841,18.33,33,20,13.38,US,1680134970
121,new waterford,40.8451,-80.6145,2.56,88,100,4.62,US,1680134970
122,kapuskasing,49.4169,-82.4331,-7.95,67,75,3.09,CA,1680134971
123,albany,42.6001,-73.9662,9.7,36,98,4.13,US,1680134705
124,kahului,20.8947,-156.47,28.01,57,100,5.14,US,1680134973
125,chuy,-33.6971,-53.4616,21.65,78,28,5.2,UY,1680134756
126,georgetown,5.4112,100.3354,25.96,83,20,1.03,MY,1680134871
127,tanout,14.9709,8.8879,23.54,14,54,4.78,NE,1680134975
128,busselton,-33.65,115.3333,17.06,69,95,6.86,AU,1680134976
129,vestmannaeyjar,63.4427,-20.2734,5.27,86,100,12.97,IS,1680134977
130,tena,-0.9833,-77.8167,21.83,97,94,1.37,EC,1680134978
131,kargopol,61.5071,38.9456,1.49,98,100,5.17,RU,1680134979
132,codrington,-38.2667,141.9667,16.05,71,52,6.23,AU,1680134981
133,ternate,0.8,127.4,27.24,78,100,3.58,ID,1680134981
134,cayenne,4.9333,-52.3333,26.02,78,0,3.6,GF,1680134819
135,cascais,38.6979,-9.4215,17.19,93,100,5.36,PT,1680134983
136,san patricio,28.017,-97.5169,21.05,78,98,6.35,US,1680134983
137,touros,-5.1989,-35.4608,26.1,81,24,3.32,BR,1680134984
138,liaoyang,41.2719,123.1731,10.18,44,9,2.68,CN,1680134985
139,phalaborwa,-23.943,31.1411,20.62,84,27,6.24,ZA,1680134986
140,nanortalik,60.1432,-45.2371,-4.12,91,64,2.99,GL,1680134987
141,narsaq,60.9167,-46.05,-2.88,77,11,2.71,GL,1680134811
142,tucupita,9.0622,-62.051,25.39,68,93,3.6,VE,1680134988
143,jizan,17.3333,42.6667,27.13,67,6,2.16,SA,1680134989
144,natal,-5.795,-35.2094,26.36,83,40,1.54,BR,1680134329
145,luderitz,-26.6481,15.1594,15.08,73,0,9.93,NA,1680134990
146,klaksvik,62.2266,-6.589,6.51,95,100,18.99,FO,1680134991
147,sidi ali,36.0998,0.4206,13.4,78,19,2.15,DZ,1680134991
148,yairipok,24.6667,94.0667,14.48,70,32,0.27,IN,1680134992
149,upernavik,72.7868,-56.1549,-28.55,87,49,3.14,GL,1680134993
150,luba,3.4568,8.5547,26.86,81,100,2.93,GQ,1680134993
151,khatanga,71.9667,102.5,-27.03,99,99,1.57,RU,1680134994
152,thompson,55.7435,-97.8558,-3.87,94,100,2.49,CA,1680134995
153,botwood,49.1499,-55.3482,-6.75,94,46,0.77,CA,1680134995
154,bouna,9.2667,-3.0,27.02,56,94,3.5,CI,1680134996
155,lola,7.8,-8.5333,21.87,94,90,0.49,GN,1680134997
156,caraballeda,10.6112,-66.8522,24.12,81,50,4.83,VE,1680134998
157,lebu,-37.6167,-73.65,11.64,69,24,7.29,CL,1680134998
158,gurupa,-1.405,-51.64,23.28,97,83,1.98,BR,1680135000
159,tura,25.5198,90.2201,18.34,84,46,1.96,IN,1680135000
160,marsh harbour,26.5412,-77.0636,24.05,77,26,5.82,BS,1680134774
161,kushiro,42.975,144.3747,4.85,62,0,2.35,JP,1680134888
162,paamiut,61.994,-49.6678,-11.94,82,16,2.92,GL,1680134816
163,changli,39.7042,119.1506,15.65,28,23,4.12,CN,1680135004
164,victoria,22.2855,114.1577,21.35,92,100,4.02,HK,1680134845
165,nizwa,22.9333,57.5333,20.51,38,0,0.86,OM,1680134883
166,new norfolk,-42.7826,147.0587,13.84,73,100,1.34,AU,1680135006
167,qaqortoq,60.7167,-46.0333,-8.14,84,13,1.93,GL,1680135007
168,kutum,14.2,24.6667,20.81,12,37,4.12,SD,1680135009
169,aktau,43.65,51.2,9.32,84,18,7.23,KZ,1680135009
